Alimento;Protein;Carbohidrates;Fat
PRODUCTOS LÁCTEOS Y SIMILARES;3.37;5;1
CEREALES GRANOS SECOS, CEREALES DE DESAYUNO Y OTRAS HARINAS;8;60;7
GALLETAS, PANES, TORTILLAS Y SIMILARES;7;69;19
FRUTAS Y JUGOS DE FRUTAS;0.3;14;0.2
LEGUMINOSAS, GRANOS SECOS Y DERIVADOS;19;61;6
VERDURAS, HORTALIZAS Y OTROS VEGETALES;0.8;9;3
PASTAS Y OTRAS HARINAS;6;31;0.9
CARNE DE CERDO;28;0;9
CARNE DE VACUNO;22;0;3.5
CARNE DE ANIMALES DE CAZA;25;0;5
MARISCOS Y PESCADOS;23;0;11
HUEVOS;12;0.7;10
ADEREZOS, SALSAS Y SOPAS;1.76;5.13;1.9
