Parte;Alimentos
desayuno;PRODUCTOS LÁCTEOS Y SIMILARES
desayuno;CEREALES GRANOS SECOS, CEREALES DE DESAYUNO Y OTRAS HARINAS/GALLETAS, PANES, TORTILLAS Y SIMILARES
desayuno;FRUTAS Y JUGOS DE FRUTAS
almuerzo;LEGUMINOSAS, GRANOS SECOS Y DERIVADOS/VERDURAS, HORTALIZAS Y OTROS VEGETALES
almuerzo;PASTAS Y OTRAS HARINAS
almuerzo;CARNE DE CERDO/CARNE DE VACUNO/CARNE DE ANIMALES DE CAZA/MARISCOS Y PESCADOS/CARNE DE AVES
almuerzo;FRUTAS Y JUGOS DE FRUTAS
comida;ADEREZOS, SALSAS Y SOPAS
comida;CARNE DE CERDO/CARNE DE VACUNO/CARNE DE ANIMALES DE CAZA/MARISCOS Y PESCADOS/CARNE DE AVES
comida;FRUTAS Y JUGOS DE FRUTAS
